SWV ITM Data Console - ITM Port: 0
timestamp, output_voltage, angular_velocity 
0.000000, 0.000000, 0.000000
0.010000, 1.000000, -1.767146
0.020000, 1.000000, -3.926991
0.030000, 1.000000, -5.694137
0.040000, 1.000000, -7.068583
0.050000, 1.000000, -8.050331
0.060000, 1.000000, -9.032079
0.070000, 1.000000, -9.621128
0.080000, 1.000000, -10.013827
0.090000, 1.000000, -10.799225
0.100000, 1.000000, -11.191924
0.110000, 1.000000, -11.388273
0.120000, 1.000000, -11.388273
0.130000, 1.000000, -11.780972
0.140000, 0.825134, -11.977322
0.150000, 0.737278, -11.388273
0.160000, 0.611240, -11.191924
0.170000, 0.556062, -10.799225
0.180000, 0.618838, -10.013827
0.190000, 0.657012, -9.621128
0.200000, 0.688826, -9.424778
0.210000, 0.735915, -9.228428
0.220000, 0.799977, -9.032079
0.230000, 0.798701, -9.228428
0.240000, 0.819062, -9.228428
0.250000, 0.790629, -9.424778
0.260000, 0.794016, -9.424778
0.270000, 0.804193, -9.424778
0.280000, 0.770668, -9.621128
0.290000, 0.795692, -9.424778
0.300000, 0.757075, -9.621128
0.310000, 0.797375, -9.424778
0.320000, 0.763850, -9.621128
0.330000, 0.757054, -9.621128
0.340000, 0.787170, -9.424778
0.350000, 0.793952, -9.424778
0.360000, 0.763821, -9.621128
0.370000, 0.758722, -9.621128
0.380000, 0.753623, -9.621128
0.390000, 0.792226, -9.424778
0.400000, 0.797310, -9.424778
0.410000, 0.758693, -9.621128
0.420000, 0.751897, -9.621128
0.430000, 0.790500, -9.424778
0.440000, 0.795584, -9.424778
0.450000, 0.756967, -9.621128
0.460000, 0.785386, -9.424778
0.470000, 0.822291, -9.228428
0.480000, 0.795556, -9.424778
0.490000, 0.760333, -9.621128
0.500000, 0.753537, -9.621128
0.510000, 1.000000, -6.086836
0.520000, 1.000000, -1.767146
0.530000, 1.000000, 1.767146
0.540000, 1.000000, 4.319690
0.550000, 1.000000, 6.086836
0.560000, 1.000000, 7.461283
0.570000, 1.000000, 8.639380
0.580000, 1.000000, 9.621128
0.590000, 1.000000, 10.406526
0.600000, 1.000000, 10.799225
0.610000, 1.000000, 11.191924
0.620000, 1.000000, 11.584623
0.630000, 1.000000, 12.173672
0.640000, 1.000000, 12.173672
0.650000, 0.748236, 12.370021
0.660000, 0.529347, 11.780972
0.670000, 0.396594, 10.995574
0.680000, 0.301610, 10.406526
0.690000, 0.311432, 9.621128
0.700000, 0.385752, 8.835729
0.710000, 0.480868, 8.246681
0.720000, 0.546289, 8.050331
0.730000, 0.633776, 7.853982
0.740000, 0.691140, 7.853982
0.750000, 0.708196, 8.050331
0.760000, 0.746889, 8.050331
0.770000, 0.733394, 8.246681
0.780000, 0.702925, 8.443030
0.790000, 0.702580, 8.443030
0.800000, 0.702234, 8.443030
0.810000, 0.701889, 8.443030
0.820000, 0.699846, 8.443030
0.830000, 0.694409, 8.443030
0.840000, 0.690669, 8.443030
0.850000, 0.693718, 8.443030
0.860000, 0.696768, 8.443030
0.870000, 0.696422, 8.443030
0.880000, 0.657467, 8.639380
0.890000, 0.725855, 8.246681
0.900000, 0.695386, 8.443030
0.910000, 0.696738, 8.443030
0.920000, 0.694696, 8.443030
0.930000, 0.692653, 8.443030
0.940000, 0.695702, 8.443030
0.950000, 0.698752, 8.443030
0.960000, 0.698406, 8.443030
0.970000, 0.659451, 8.639380
0.980000, 0.690926, 8.443030
0.990000, 0.727493, 8.246681
1.000000, 0.697025, 8.443030
1.010000, 0.150156, 7.068583
1.020000, 0.027524, 5.301438
1.030000, 0.074757, 4.319690
1.040000, 0.179593, 3.730641
1.050000, 0.296739, 3.337942
1.060000, 0.407524, 3.141593
1.070000, 0.486488, 3.141593
1.080000, 0.478049, 3.534292
1.090000, 0.475971, 3.730641
1.100000, 0.451827, 3.926991
1.110000, 0.419197, 4.123340
1.120000, 0.451905, 3.926991
1.130000, 0.415881, 4.123340
1.140000, 0.453681, 3.926991
1.150000, 0.496573, 3.730641
1.160000, 0.469035, 3.926991
1.170000, 0.473317, 3.926991
1.180000, 0.437292, 4.123340
1.190000, 0.431391, 4.123340
1.200000, 0.385182, 4.319690
1.210000, 0.411101, 4.123340
1.220000, 0.442112, 3.926991
1.230000, 0.441303, 3.926991
1.240000, 0.448980, 3.926991
1.250000, 0.460051, 3.926991
1.260000, 0.467728, 3.926991
1.270000, 0.438493, 4.123340
1.280000, 0.472898, 3.926991
1.290000, 0.431782, 4.123340
1.300000, 0.420788, 4.123340
1.310000, 0.448404, 3.926991
1.320000, 0.445897, 3.926991
1.330000, 0.445088, 3.926991
1.340000, 0.452765, 3.926991
1.350000, 0.462139, 3.926991
1.360000, 0.469816, 3.926991
1.370000, 0.438883, 4.123340
1.380000, 0.471592, 3.926991
1.390000, 0.427080, 4.123340
1.400000, 0.417784, 4.123340
1.410000, 0.411882, 4.123340
1.420000, 0.442893, 3.926991
1.430000, 0.445478, 3.926991
1.440000, 0.454853, 3.926991
1.450000, 0.465924, 3.926991
1.460000, 0.471904, 3.926991
1.470000, 0.439274, 4.123340
1.480000, 0.436767, 4.123340
1.490000, 0.425774, 4.123340
1.500000, 0.449995, 3.926991
1.510000, 1.000000, 1.178097
1.520000, 1.000000, -2.159845
1.530000, 1.000000, -4.319690
1.540000, 1.000000, -6.086836
1.550000, 0.843802, -7.461283
1.560000, 0.645515, -7.853982
1.570000, 0.549479, -7.657632
1.580000, 0.515816, -7.264933
1.590000, 0.474095, -7.068583
1.600000, 0.487956, -6.675884
1.610000, 0.493760, -6.479535
1.620000, 0.525023, -6.283185
1.630000, 0.574957, -6.086836
1.640000, 0.593070, -6.086836
1.650000, 0.602697, -6.086836
1.660000, 0.566925, -6.283185
1.670000, 0.562973, -6.283185
1.680000, 0.597631, -6.086836
1.690000, 0.605560, -6.086836
1.700000, 0.615187, -6.086836
1.710000, 0.618025, -6.086836
1.720000, 0.577160, -6.283185
1.730000, 0.568117, -6.283185
1.740000, 0.562468, -6.283185
1.750000, 0.565305, -6.283185
1.760000, 0.610147, -6.086836
1.770000, 0.581164, -6.283185
1.780000, 0.578910, -6.283185
1.790000, 0.569866, -6.283185
1.800000, 0.562519, -6.283185
1.810000, 0.597177, -6.086836
1.820000, 0.605107, -6.086836
1.830000, 0.614734, -6.086836
1.840000, 0.580659, -6.283185
1.850000, 0.573312, -6.283185
1.860000, 0.562571, -6.283185
1.870000, 0.595532, -6.086836
1.880000, 0.601764, -6.086836
1.890000, 0.611391, -6.086836
1.900000, 0.580710, -6.283185
1.910000, 0.573364, -6.283185
1.920000, 0.564320, -6.283185
1.930000, 0.558671, -6.283185
1.940000, 0.598421, -6.086836
1.950000, 0.608048, -6.086836
1.960000, 0.614280, -6.086836
1.970000, 0.576810, -6.283185
1.980000, 0.567766, -6.283185
1.990000, 0.560420, -6.283185
2.000000, 0.595078, -6.086836
2.010000, 1.000000, -2.945243
2.020000, 1.000000, 0.589049
2.030000, 1.000000, 3.141593
2.040000, 1.000000, 5.301438
2.050000, 1.000000, 6.872234
2.060000, 1.000000, 8.050331
2.070000, 1.000000, 9.032079
2.080000, 1.000000, 10.013827
2.090000, 0.893899, 10.602875
2.100000, 0.609037, 10.602875
2.110000, 0.418367, 10.210176
2.120000, 0.342258, 9.424778
2.130000, 0.293735, 8.835729
2.140000, 0.339834, 8.050331
2.150000, 0.403334, 7.461283
2.160000, 0.472354, 7.068583
2.170000, 0.535014, 6.872234
2.180000, 0.623134, 6.675884
2.190000, 0.679433, 6.675884
2.200000, 0.653421, 7.068583
2.210000, 0.675773, 7.068583
2.220000, 0.617512, 7.461283
2.230000, 0.654712, 7.264933
2.240000, 0.658394, 7.264933
2.250000, 0.660379, 7.264933
2.260000, 0.623754, 7.461283
2.270000, 0.617253, 7.461283
2.280000, 0.645966, 7.264933
2.290000, 0.647951, 7.264933
2.300000, 0.651633, 7.264933
2.310000, 0.618403, 7.461283
2.320000, 0.615296, 7.461283
2.330000, 0.612189, 7.461283
2.340000, 0.612476, 7.461283
2.350000, 0.651374, 7.264933
2.360000, 0.655056, 7.264933
2.370000, 0.651949, 7.264933
2.380000, 0.611930, 7.461283
2.390000, 0.608823, 7.461283
2.400000, 0.612505, 7.461283
2.410000, 0.651402, 7.264933
2.420000, 0.651690, 7.264933
2.430000, 0.648583, 7.264933
2.440000, 0.645476, 7.264933
2.450000, 0.647461, 7.264933
2.460000, 0.652840, 7.264933
2.470000, 0.654825, 7.264933
2.480000, 0.616503, 7.461283
2.490000, 0.645216, 7.264933
2.500000, 0.643807, 7.264933
2.510000, 1.000000, 4.123340
2.520000, 0.637785, 0.196350
2.530000, 0.439310, -1.374447
2.540000, 0.367260, -1.767146
2.550000, 0.310057, -1.963495
2.560000, 0.324982, -1.767146
2.570000, 0.348394, -1.570796
2.580000, 0.345077, -1.570796
2.590000, 0.346852, -1.570796
2.600000, 0.346930, -1.570796
2.610000, 0.347007, -1.570796
2.620000, 0.343690, -1.570796
2.630000, 0.340373, -1.570796
2.640000, 0.300144, -1.767146
2.650000, 0.295130, -1.767146
2.660000, 0.321936, -1.570796
2.670000, 0.281707, -1.767146
2.680000, 0.274995, -1.767146
2.690000, 0.303499, -1.570796
2.700000, 0.263269, -1.767146
2.710000, 0.295167, -1.570796
2.720000, 0.260030, -1.767146
2.730000, 0.297020, -1.570796
2.740000, 0.302190, -1.570796
2.750000, 0.307359, -1.570796
2.760000, 0.314226, -1.570796
2.770000, 0.321093, -1.570796
2.780000, 0.289350, -1.767146
2.790000, 0.328038, -1.570796
2.800000, 0.333208, -1.570796
2.810000, 0.338377, -1.570796
2.820000, 0.343547, -1.570796
2.830000, 0.311804, -1.767146
2.840000, 0.347097, -1.570796
2.850000, 0.345477, -1.570796
2.860000, 0.306945, -1.767146
2.870000, 0.337146, -1.570796
2.880000, 0.332132, -1.570796
2.890000, 0.291902, -1.767146
2.900000, 0.285191, -1.767146
2.910000, 0.311997, -1.570796
2.920000, 0.305285, -1.570796
2.930000, 0.298574, -1.570796
2.940000, 0.258344, -1.767146
2.950000, 0.290243, -1.570796
2.960000, 0.288623, -1.570796
2.970000, 0.292095, -1.570796
2.980000, 0.298962, -1.570796
2.990000, 0.304132, -1.570796
3.000000, 0.344517, -1.374447
3.010000, 0.951359, -3.141593
3.020000, 0.790231, -4.712389
3.030000, 0.671518, -5.497787
3.040000, 0.612623, -5.694137
3.050000, 0.538452, -5.890486
3.060000, 0.529620, -5.694137
3.070000, 0.490664, -5.694137
3.080000, 0.500502, -5.497787
3.090000, 0.527314, -5.301438
3.100000, 0.532488, -5.301438
3.110000, 0.542755, -5.301438
3.120000, 0.549627, -5.301438
3.130000, 0.512797, -5.497787
3.140000, 0.537911, -5.301438
3.150000, 0.531205, -5.301438
3.160000, 0.531288, -5.301438
3.170000, 0.536462, -5.301438
3.180000, 0.548427, -5.301438
3.190000, 0.555299, -5.301438
3.200000, 0.553684, -5.301438
3.210000, 0.510065, -5.497787
3.220000, 0.535179, -5.301438
3.230000, 0.531867, -5.301438
3.240000, 0.570560, -5.105088
3.250000, 0.580826, -5.105088
3.260000, 0.554181, -5.301438
3.270000, 0.555961, -5.301438
3.280000, 0.514039, -5.497787
3.290000, 0.502241, -5.497787
3.300000, 0.530749, -5.301438
3.310000, 0.532529, -5.301438
3.320000, 0.574616, -5.105088
3.330000, 0.551365, -5.301438
3.340000, 0.521325, -5.497787
3.350000, 0.551531, -5.301438
3.360000, 0.541430, -5.301438
3.370000, 0.533026, -5.301438
3.380000, 0.533109, -5.301438
3.390000, 0.573499, -5.105088
3.400000, 0.550247, -5.301438
3.410000, 0.555422, -5.301438
3.420000, 0.518593, -5.497787
3.430000, 0.510189, -5.497787
3.440000, 0.500087, -5.497787
3.450000, 0.530293, -5.301438
3.460000, 0.568986, -5.105088
3.470000, 0.579253, -5.105088
3.480000, 0.554304, -5.301438
3.490000, 0.554387, -5.301438
3.500000, 0.514163, -5.497787
3.510000, 0.771100, -6.086836
3.520000, 0.708265, -6.675884
3.530000, 0.683611, -6.872234
3.540000, 0.680594, -6.872234
3.550000, 0.633875, -7.068583
3.560000, 0.580367, -7.264933
3.570000, 0.593894, -7.068583
3.580000, 0.617606, -6.872234
3.590000, 0.617983, -6.872234
3.600000, 0.625150, -6.872234
3.610000, 0.627224, -6.872234
3.620000, 0.622510, -6.872234
3.630000, 0.580883, -7.068583
3.640000, 0.614778, -6.872234
3.650000, 0.657160, -6.675884
3.660000, 0.630809, -6.872234
3.670000, 0.631186, -6.872234
3.680000, 0.587862, -7.068583
3.690000, 0.614968, -6.872234
3.700000, 0.615345, -6.872234
3.710000, 0.624209, -6.872234
3.720000, 0.631376, -6.872234
3.730000, 0.628359, -6.872234
3.740000, 0.585034, -7.068583
3.750000, 0.613838, -6.872234
3.760000, 0.652825, -6.675884
3.770000, 0.628171, -6.872234
3.780000, 0.631943, -6.872234
3.790000, 0.627228, -6.872234
3.800000, 0.619119, -6.872234
3.810000, 0.616102, -6.872234
3.820000, 0.656787, -6.675884
3.830000, 0.630435, -6.872234
3.840000, 0.630813, -6.872234
3.850000, 0.589186, -7.068583
3.860000, 0.616292, -6.872234
3.870000, 0.616669, -6.872234
3.880000, 0.623836, -6.872234
3.890000, 0.631002, -6.872234
3.900000, 0.594467, -7.068583
3.910000, 0.619876, -6.872234
3.920000, 0.579946, -7.068583
3.930000, 0.617236, -6.872234
3.940000, 0.626100, -6.872234
3.950000, 0.631570, -6.872234
3.960000, 0.626855, -6.872234
3.970000, 0.618746, -6.872234
3.980000, 0.614031, -6.872234
3.990000, 0.619501, -6.872234
4.000000, 0.663580, -6.675884
4.010000, 1.000000, -3.730641
4.020000, 1.000000, -0.196350
4.030000, 1.000000, 2.945243
4.040000, 1.000000, 5.105088
4.050000, 0.717970, 6.479535
4.060000, 0.477705, 6.872234
4.070000, 0.390181, 6.479535
4.080000, 0.371819, 5.890486
4.090000, 0.352188, 5.497787
4.100000, 0.327894, 5.301438
4.110000, 0.334151, 5.105088
4.120000, 0.434602, 4.516039
4.130000, 0.456564, 4.516039
4.140000, 0.522227, 4.319690
4.150000, 0.514066, 4.516039
4.160000, 0.497418, 4.712389
4.170000, 0.500710, 4.712389
4.180000, 0.461997, 4.908739
4.190000, 0.492017, 4.712389
4.200000, 0.486822, 4.712389
4.210000, 0.490113, 4.712389
4.220000, 0.498496, 4.712389
4.230000, 0.505182, 4.712389
4.240000, 0.473259, 4.908739
4.250000, 0.504976, 4.712389
4.260000, 0.496386, 4.712389
4.270000, 0.454279, 4.908739
4.280000, 0.484299, 4.712389
4.290000, 0.485893, 4.712389
4.300000, 0.494276, 4.712389
4.310000, 0.502660, 4.712389
4.320000, 0.507648, 4.712389
4.330000, 0.472330, 4.908739
4.340000, 0.498955, 4.712389
4.350000, 0.456848, 4.908739
4.360000, 0.486868, 4.712389
4.370000, 0.451549, 4.908739
4.380000, 0.526969, 4.516039
4.390000, 0.500137, 4.712389
4.400000, 0.505126, 4.712389
4.410000, 0.506720, 4.712389
4.420000, 0.499827, 4.712389
4.430000, 0.457720, 4.908739
4.440000, 0.452524, 4.908739
4.450000, 0.449027, 4.908739
4.460000, 0.489231, 4.712389
4.470000, 0.499311, 4.712389
4.480000, 0.504300, 4.712389
4.490000, 0.472376, 4.908739
4.500000, 0.467181, 4.908739
4.510000, 1.000000, 1.963495
4.520000, 1.000000, -1.374447
4.530000, 1.000000, -3.926991
4.540000, 1.000000, -5.694137
4.550000, 1.000000, -7.068583
4.560000, 1.000000, -8.050331
4.570000, 1.000000, -8.835729
4.580000, 1.000000, -9.621128
4.590000, 1.000000, -10.406526
4.600000, 1.000000, -10.799225
4.610000, 1.000000, -10.995574
4.620000, 1.000000, -11.388273
4.630000, 0.868497, -11.780972
4.640000, 0.678881, -11.388273
4.650000, 0.565216, -10.799225
4.660000, 0.457072, -10.406526
4.670000, 0.431668, -9.817477
4.680000, 0.499188, -9.032079
4.690000, 0.548895, -8.639380
4.700000, 0.592241, -8.443030
4.710000, 0.692868, -8.050331
4.720000, 0.740037, -8.050331
4.730000, 0.788903, -8.050331
4.740000, 0.753761, -8.443030
4.750000, 0.731769, -8.639380
4.760000, 0.734808, -8.639380
4.770000, 0.737847, -8.639380
4.780000, 0.744280, -8.639380
4.790000, 0.707012, -8.835729
4.800000, 0.731687, -8.639380
4.810000, 0.692722, -8.835729
4.820000, 0.732673, -8.639380
4.830000, 0.735712, -8.639380
4.840000, 0.696747, -8.835729
4.850000, 0.689602, -8.835729
4.860000, 0.724461, -8.639380
4.870000, 0.766110, -8.443030
4.880000, 0.732236, -8.639380
4.890000, 0.691573, -8.835729
4.900000, 0.723038, -8.639380
4.910000, 0.764687, -8.443030
4.920000, 0.737603, -8.639380
4.930000, 0.732155, -8.639380
4.940000, 0.691492, -8.835729
4.950000, 0.726351, -8.639380
4.960000, 0.769697, -8.443030
4.970000, 0.702306, -8.835729
4.980000, 0.693464, -8.835729
4.990000, 0.723231, -8.639380
5.000000, 0.727967, -8.639380
