SWV ITM Data Console - ITM Port: 0
timestamp, output_voltage, angular_velocity 
0.000000, 0.000000, 0.000000
0.004000, 0.582511, 0.000000
0.008000, 1.000000, 0.392699
0.012000, 1.000000, 1.178097
0.016000, 0.982028, 2.356194
0.020000, 0.496267, 3.141593
0.024000, 0.172360, 3.534292
0.028000, 0.764187, 2.945243
0.032000, 1.000000, 1.767146
0.036000, 1.000000, 0.196350
0.040000, 1.000000, -0.981748
0.044000, 0.573660, -1.963495
0.048000, 0.069513, -2.356194
0.052000, 0.737266, -2.356194
0.056000, 1.000000, -1.178097
0.060000, 1.000000, 0.196350
0.064000, 0.976027, 1.374447
0.068000, 0.459810, 2.356194
0.072000, 0.163084, 2.552544
0.076000, 0.799442, 2.356194
0.080000, 1.000000, 1.178097
0.084000, 1.000000, -0.392699
0.088000, 0.961803, -1.570796
0.092000, 0.462253, -2.356194
0.096000, 0.207050, -2.748894
0.100000, 0.776390, -2.159845
0.104000, 1.000000, -1.178097
0.108000, 1.000000, 0.196350
0.112000, 0.970827, 1.374447
0.116000, 0.463120, 2.159845
0.120000, 0.208535, 2.552544
0.124000, 0.807609, 2.159845
0.128000, 1.000000, 0.981748
0.132000, 1.000000, -0.589049
0.136000, 0.917757, -1.570796
0.140000, 0.388526, -2.356194
0.144000, 0.260089, -2.552544
0.148000, 0.858364, -2.159845
0.152000, 1.000000, -0.785398
0.156000, 1.000000, 0.589049
0.160000, 0.925720, 1.570796
0.164000, 0.351853, 2.552544
0.168000, 0.303481, 2.748894
0.172000, 0.831817, 1.963495
0.176000, 1.000000, 0.981748
0.180000, 1.000000, -0.589049
0.184000, 0.891109, -1.570796
0.188000, 0.299571, -2.552544
0.192000, 0.362112, -2.748894
0.196000, 0.887140, -1.963495
0.200000, 1.000000, -0.785398
0.204000, 1.000000, 0.589049
0.208000, 0.864085, 1.767146
0.212000, 0.293728, 2.552544
0.216000, 0.373933, 2.748894
0.220000, 0.896941, 1.963495
0.224000, 1.000000, 0.785398
0.228000, 1.000000, -0.589049
0.232000, 0.831421, -1.767146
0.236000, 0.247274, -2.552544
0.240000, 0.392462, -2.552544
0.244000, 0.946572, -1.963495
0.248000, 1.000000, -0.589049
0.252000, 1.000000, 0.785398
0.256000, 0.789384, 1.963495
0.260000, 0.190013, 2.748894
0.264000, 0.456637, 2.748894
0.268000, 0.974404, 1.963495
0.272000, 1.000000, 0.589049
0.276000, 1.000000, -0.785398
0.280000, 0.779063, -1.963495
0.284000, 0.168123, -2.748894
0.288000, 0.448136, -2.552544
0.292000, 0.994502, -1.963495
0.296000, 1.000000, -0.392699
0.300000, 1.000000, 0.785398
0.304000, 0.748777, 1.963495
0.308000, 0.124854, 2.748894
0.312000, 0.495853, 2.552544
0.316000, 1.000000, 1.767146
0.320000, 1.000000, 0.392699
0.324000, 1.000000, -0.785398
0.328000, 0.747256, -1.963495
0.332000, 0.144148, -2.552544
0.336000, 0.515821, -2.552544
0.340000, 1.000000, -1.963495
0.344000, 1.000000, -0.392699
0.348000, 1.000000, 0.981748
0.352000, 0.678696, 2.159845
0.356000, 0.064867, 2.748894
0.360000, 0.563535, 2.552544
0.364000, 1.000000, 1.570796
0.368000, 1.000000, 0.196350
0.372000, 1.000000, -0.981748
0.376000, 0.674139, -2.159845
0.380000, 0.081710, -2.552544
0.384000, 0.549946, -2.356194
0.388000, 1.000000, -1.570796
0.392000, 1.000000, -0.196350
0.396000, 1.000000, 1.178097
0.400000, 0.639476, 2.159845
0.404000, 0.003410, 2.748894
0.408000, 0.595882, 2.356194
0.412000, 1.000000, 1.570796
0.416000, 1.000000, 0.196350
0.420000, 1.000000, -1.178097
0.424000, 0.631926, -2.159845
0.428000, 0.017339, -2.748894
0.432000, 0.652605, -2.552544
0.436000, 1.000000, -1.570796
0.440000, 1.000000, 0.000000
0.444000, 1.000000, 1.178097
0.448000, 0.639688, 1.963495
0.452000, 0.049177, 2.748894
0.456000, 0.649584, 2.356194
0.460000, 1.000000, 1.374447
0.464000, 1.000000, 0.000000
0.468000, 1.000000, -1.178097
0.472000, 0.573609, -2.159845
0.476000, 0.059082, -2.552544
0.480000, 0.696340, -2.356194
0.484000, 1.000000, -1.374447
0.488000, 1.000000, 0.000000
0.492000, 1.000000, 1.374447
0.496000, 0.521601, 2.356194
0.500000, 0.123311, 2.748894
0.504000, 0.728294, 2.356194
0.508000, 1.000000, 1.374447
0.512000, 1.000000, -0.196350
0.516000, 1.000000, -1.374447
0.520000, 0.506514, -2.356194
0.524000, 0.146888, -2.748894
0.528000, 0.752701, -2.356194
